Area_Name,Latitude,Longitude,Crime_Rate,Lighting,Police_Distance,Time,Crowd_Density,Risk_Level
Sakchi Market,22.804996,86.199859,4,Poor,0.73,Day,Low,Medium
Chhota Govindpur,22.752422,86.137494,8,Poor,2.86,Night,Low,High
Sonari,22.817529,86.164644,3,Good,1.63,Day,Medium,Low
Jugsalai,22.789264,86.177781,7,Poor,0.1,Night,Low,High
Sitaramdera,22.774639,86.166791,4,Good,1.52,Day,Medium,Low
Pathargora,22.799706,86.198769,9,Poor,0.69,Night,Low,High
Sonari,22.819696,86.16378,4,Good,1.69,Day,Medium,Low
Boram,22.840809,86.216696,8,Poor,3.66,Night,Low,High
Kadma,22.814291,86.221047,2,Good,0.1,Day,High,Low
Boram,22.842464,86.222181,4,Good,4.08,Day,Low,Medium
Jugsalai,22.791354,86.18217,2,Good,1.26,Day,Medium,Low
Sidhgora More,22.81065,86.191494,3,Good,0.97,Day,High,Low
Birsa Chowk,22.80001,86.182086,5,Poor,0.1,Night,Medium,Medium
Agrico,22.778126,86.171016,3,Good,0.98,Day,High,Low
Golmuri,22.783152,86.176384,7,Poor,0.98,Night,Low,High
Bhalubasa,22.760406,86.147478,4,Good,1.7,Day,Medium,Medium
Pathargora,22.803007,86.199892,6,Poor,0.81,Night,Medium,Medium
Bhalubasa,22.760325,86.148425,2,Good,0.35,Day,High,Low
Bhalubasa,22.758678,86.146046,7,Poor,1.59,Night,Low,High
Sakchi,22.803905,86.203511,6,Poor,0.45,Day,Medium,Medium
Sidhgora,22.809316,86.189371,3,Good,0.2,Day,High,Low
Sonari,22.817736,86.162441,7,Poor,1.73,Night,Low,High
Marine Drive,22.77047,86.159133,2,Good,1.44,Day,High,Low
Mango Bazar,22.831627,86.20064,5,Poor,1.03,Night,Low,High
Jharkhand Colony,22.785469,86.204359,9,Poor,2.15,Night,Low,High
Ulidih,22.788714,86.210961,6,Poor,2.47,Night,Low,High
Jharkhand Colony,22.783134,86.205591,6,Poor,1.92,Night,Low,High
Karandih,22.817332,86.210046,1,Good,2.3,Day,Medium,Low
Telco,22.764753,86.156347,6,Poor,0.76,Night,Low,High
Sidhgora,22.810045,86.189695,5,Poor,1.06,Night,Medium,Medium
Parsudih,22.800937,86.169084,2,Good,1.97,Day,Medium,Low
Mango,22.8321,86.20028,5,Poor,1.87,Night,Medium,Medium
Karandih,22.816758,86.211435,3,Good,2.54,Day,Medium,Low
Karandih,22.81667,86.210437,2,Good,2.57,Day,Medium,Low
Sakchi,22.80464,86.202065,3,Good,0.2,Day,High,Low
Jugsalai More,22.785691,86.177766,2,Good,0.75,Day,High,Low
Bagbera,22.832888,86.231657,6,Poor,3.31,Day,Low,Medium
Lal Building,22.801284,86.180884,2,Poor,0.1,Night,High,Medium
Lal Building,22.799315,86.182108,4,Poor,0.57,Night,Medium,Medium
Jugsalai More,22.789136,86.183529,1,Good,0.83,Day,High,Low
Jugsalai More,22.786197,86.181202,5,Poor,0.57,Night,Medium,Medium
Parsudih,22.803316,86.171417,5,Poor,2.8,Day,Low,Medium
Ulidih,22.792217,86.209193,3,Good,1.43,Day,Medium,Low
Golmuri,22.782718,86.175906,3,Good,1.12,Day,High,Low
Bistupur,22.797273,86.18774,3,Good,1.07,Night,Medium,Low
Telco,22.766173,86.155549,1,Good,1.6,Day,High,Low
Bhalubasa,22.763922,86.151031,4,Good,1.54,Day,Medium,Medium
Agrico,22.776887,86.172582,3,Poor,0.79,Day,Medium,Medium
Parsudih,22.803349,86.169029,5,Poor,2.28,Day,Low,Medium
Jugsalai More,22.787026,86.178645,6,Poor,0.69,Night,Medium,Medium
Sakchi,22.802738,86.204233,4,Poor,0.99,Day,Medium,Medium
Marine Drive,22.76982,86.159159,5,Good,1.02,Night,Medium,Medium
Pathargora,22.802004,86.201534,8,Poor,0.87,Night,Low,High
Boram Basti,22.840412,86.215525,2,Good,4.95,Day,Low,Medium
Bagbera,22.830468,86.230823,6,Poor,3.08,Day,Low,Medium
Sakchi,22.806037,86.201934,4,Good,0.33,Day,High,Low
Gamharia,22.770357,86.121096,4,Good,1.53,Day,Medium,Medium
Sakchi,22.803787,86.20288,4,Poor,1.07,Day,Medium,Medium
Jugsalai More,22.786777,86.179197,1,Good,0.78,Day,High,Low
Azadnagar,22.805993,86.19542,1,Good,1.31,Day,Medium,Low
Lal Building,22.800326,86.180724,5,Good,0.21,Night,Medium,Medium
Ulidih,22.791665,86.211257,3,Poor,2.49,Day,Low,Medium
Marine Drive,22.770408,86.158427,4,Good,1.24,Night,High,Medium
Gamharia,22.767896,86.119599,3,Good,1.74,Day,Medium,Medium
Bagbera,22.829157,86.230518,5,Poor,2.96,Day,Low,Medium
Golmuri,22.784349,86.17672,8,Poor,0.58,Night,Low,High
Sonari,22.820686,86.161986,8,Good,2.5,Night,Low,High
Azadnagar,22.807947,86.195636,1,Good,0.97,Day,Medium,Low
Chhota Govindpur,22.754662,86.14041,6,Poor,3.03,Night,Low,High
Chhota Govindpur,22.752196,86.13689,8,Poor,2.61,Night,Low,High
Sakchi,22.805745,86.201102,7,Poor,0.43,Night,Low,High
Karandih,22.812818,86.209437,2,Good,2.52,Day,Medium,Low
Sonari,22.819645,86.160931,6,Poor,2.19,Night,Low,High
Boram,22.838387,86.217599,8,Poor,3.82,Night,Low,High
Mango,22.830306,86.202287,4,Good,1.2,Day,Medium,Low
Pathargora,22.806545,86.20039,7,Poor,0.65,Night,Low,High
Mango Bazar,22.831455,86.20321,4,Good,1.77,Day,High,Low
Mango,22.829104,86.199959,6,Poor,2.07,Night,Low,High
Kadma,22.814112,86.221519,4,Good,0.72,Night,Medium,Medium
Dimna,22.742224,86.210772,6,Poor,3.73,Night,Low,High
Bistupur,22.794959,86.187303,2,Good,0.75,Day,High,Low
Sakchi Market,22.808155,86.202667,5,Poor,0.5,Day,Medium,Medium
Sitaramdera,22.7736,86.163806,7,Poor,0.86,Night,Low,High
Marine Drive,22.770518,86.160146,2,Good,0.92,Day,High,Low
Burma Mines,22.824412,86.179714,7,Poor,2.53,Night,Low,High
Burma Mines,22.824534,86.179848,2,Good,3.28,Day,Medium,Low
Kadma,22.815814,86.223391,4,Poor,0.7,Night,Low,High
Sidhgora More,22.81146,86.192428,2,Good,0.93,Day,Low,Low
Adityapur,22.781176,86.134247,5,Poor,0.1,Night,Medium,Medium
Bistupur,22.800031,86.187027,4,Good,1.22,Night,Medium,Low
Telco,22.765275,86.152289,10,Poor,0.79,Night,Low,High
Sakchi,22.805115,86.200883,4,Poor,1.52,Day,Medium,Medium
Azadnagar,22.80763,86.195748,7,Poor,0.49,Night,Low,High
Kadma,22.814198,86.221238,2,Good,0.32,Day,Low,Low
Sakchi,22.80572,86.205018,7,Poor,0.1,Night,Low,High
Parsudih,22.800564,86.170972,8,Poor,2.63,Night,Low,High
Kadma,22.811655,86.22037,2,Good,0.21,Day,High,Low
Chhota Govindpur,22.75242,86.141227,8,Poor,2.42,Night,Low,High
Bistupur,22.798547,86.186984,5,Poor,0.1,Night,Low,Medium
Sitaramdera,22.771028,86.166024,2,Good,1.47,Day,Medium,Low
Bhalubasa,22.758908,86.149209,2,Good,1.65,Day,Medium,Medium
Bistupur,22.798232,86.189563,6,Poor,1.13,Night,Low,Medium
Pathargora,22.801314,86.199261,7,Poor,0.36,Night,Low,High
Marine Drive,22.769384,86.161521,5,Poor,1.38,Night,Low,High
Lal Building,22.79944,86.179191,6,Poor,0.1,Night,Low,High
Bagbera,22.829903,86.231944,4,Good,2.98,Night,Medium,Low
Jugsalai,22.78594,86.181062,6,Poor,0.52,Night,Low,High
Golmuri,22.783291,86.174294,1,Good,1.16,Day,High,Low
Bagbera,22.830346,86.226944,6,Poor,3.46,Day,Low,Medium
Sitaramdera,22.772335,86.164417,7,Poor,1.55,Night,Low,Medium
Parsudih,22.802937,86.171033,5,Poor,2.21,Day,Low,Medium
Burma Mines,22.827759,86.17736,9,Poor,3.35,Night,Low,High
Agrico,22.780269,86.17407,7,Poor,0.88,Night,Low,High
Jugsalai More,22.788372,86.180052,3,Poor,0.69,Day,High,Low
Jugsalai More,22.786777,86.181594,6,Poor,0.55,Night,Medium,Medium
Azadnagar,22.805065,86.196287,5,Good,0.8,Day,High,Medium
Boram,22.840027,86.218602,7,Poor,4.61,Night,Low,High
Lal Building,22.800878,86.182085,3,Poor,0.51,Night,Medium,Medium
Jharkhand Colony,22.785233,86.207402,6,Poor,1.96,Night,Low,High
Azadnagar,22.806935,86.196746,5,Poor,0.91,Night,Low,High
Adityapur,22.785618,86.134025,6,Poor,1.36,Night,Medium,High
Bagbera,22.83118,86.233384,6,Poor,3.56,Day,Low,Medium
Golmuri,22.785991,86.176039,3,Good,0.75,Day,High,Low
Agrico,22.77932,86.174225,4,Good,0.8,Day,High,Low
Adityapur,22.785752,86.134676,2,Good,0.43,Day,High,Low
Mango Bazar,22.829749,86.204095,3,Poor,1.65,Day,Medium,Medium
Agrico,22.776714,86.174144,6,Poor,0.65,Night,Low,High
Bistupur,22.795378,86.184426,2,Good,0.65,Day,High,Low
Bhalubasa,22.760386,86.148592,4,Good,1.91,Day,Medium,Medium
Marine Drive,22.77078,86.159759,3,Good,0.84,Day,High,Low
Parsudih,22.799078,86.16825,2,Good,2.11,Night,Medium,Low
Jharkhand Colony,22.783244,86.204707,5,Good,1.73,Night,Low,High
Marine Drive,22.770365,86.157666,1,Good,1.15,Day,High,Low
Boram Basti,22.84065,86.215293,5,Poor,4.9,Night,Low,High
Karandih,22.815651,86.21187,4,Good,2.95,Day,Medium,Medium
Kadma,22.813039,86.222093,5,Poor,0.93,Night,Low,High
Sitaramdera,22.770915,86.16138,7,Poor,1.11,Night,Low,High
Jharkhand Colony,22.78408,86.204135,5,Poor,1.8,Night,Low,High
Baridih,22.835588,86.186321,2,Good,1.49,Day,High,Low
Agrico,22.776727,86.17258,8,Poor,1.17,Night,Medium,High
Birsa Chowk,22.798636,86.186868,3,Good,0.47,Day,High,Low
Burma Mines,22.825702,86.179575,2,Good,3.45,Day,Medium,Low
Sakchi,22.803457,86.200865,5,Poor,0.73,Night,Low,High
Pathargora,22.799513,86.199785,4,Poor,0.55,Night,Medium,Medium
Adityapur,22.783495,86.133528,7,Poor,0.56,Night,Low,High
Sonari,22.818373,86.159916,5,Poor,2.11,Night,Low,High
Lal Building,22.798022,86.179819,5,Poor,0.1,Night,Medium,Medium
Sakchi,22.804078,86.201691,3,Good,1.06,Day,High,Low
Sakchi Market,22.807497,86.201039,7,Poor,0.89,Night,Low,High
Bhalubasa,22.757932,86.148425,2,Good,1.03,Day,High,Low
Sakchi Market,22.804576,86.203566,6,Poor,0.17,Night,Low,High
Jugsalai,22.791498,86.18187,2,Good,0.65,Day,Medium,Low
Bhalubasa,22.760612,86.149126,4,Good,1.91,Day,Medium,Medium
Karandih,22.814448,86.2096,6,Good,3.19,Day,Medium,Medium
Burma Mines,22.824765,86.178905,3,Poor,3.12,Day,Low,Medium
Sitaramdera,22.772644,86.164777,5,Poor,1.89,Night,Low,High
Telco,22.767544,86.154338,4,Poor,1.08,Night,Medium,Medium
Azadnagar,22.805204,86.198846,2,Good,1.33,Day,Medium,Low
Burma Mines,22.823864,86.174504,9,Poor,2.84,Night,Low,High
Mango Bazar,22.828932,86.20019,3,Good,1.42,Day,High,Low
Parsudih,22.801355,86.169574,8,Poor,2.26,Night,Low,High
Lal Building,22.797891,86.181603,7,Poor,0.1,Night,High,High
Sitaramdera,22.771304,86.162845,6,Poor,1.65,Day,Low,Medium
Mango Bazar,22.829637,86.201418,3,Good,1.38,Day,High,Low
Sonari,22.820611,86.160613,4,Good,1.52,Day,Medium,Low
Jugsalai,22.787537,86.182439,6,Poor,0.29,Night,Low,High
Mango Bazar,22.831595,86.204819,2,Good,1.53,Day,High,Low
Marine Drive,22.767594,86.162459,5,Good,1.92,Night,Medium,Medium
Adityapur,22.785997,86.131816,7,Poor,1.23,Night,Low,High
Sidhgora,22.808195,86.187949,5,Poor,0.12,Night,Medium,Medium
Azadnagar,22.805362,86.193847,3,Good,0.88,Day,Medium,Low
Burma Mines,22.828317,86.179933,3,Poor,2.64,Day,Low,Medium
Azadnagar,22.807398,86.196626,1,Good,1.35,Day,Medium,Low
Karandih,22.814807,86.21012,1,Good,2.7,Day,Medium,Low
Sakchi,22.809398,86.203244,5,Poor,0.58,Night,Medium,Medium
Boram,22.838627,86.219915,3,Good,4.03,Day,Low,Medium
Golmuri,22.785848,86.172618,2,Good,0.83,Day,Medium,Medium
Azadnagar,22.803701,86.19677,1,Good,1.56,Day,Medium,Low
Karandih,22.814634,86.209721,3,Good,2.79,Day,Medium,Medium
Bhalubasa,22.757978,86.1462,4,Good,1.63,Day,High,Low
Marine Drive,22.770386,86.160861,4,Good,0.37,Day,High,Low
Sitaramdera,22.772084,86.164361,5,Poor,1.18,Day,Low,Medium
Baridih,22.834539,86.185341,7,Poor,2.73,Night,Low,High
Telco,22.766638,86.154813,6,Poor,1.56,Night,Low,High
Jugsalai More,22.786149,86.181337,1,Good,0.15,Day,High,Low
Sonari,22.81949,86.16233,4,Good,1.69,Day,Medium,Medium
Agrico,22.779231,86.171674,3,Poor,0.48,Day,Medium,Medium
Baridih,22.832775,86.185483,7,Poor,2.6,Night,Low,High
Burma Mines,22.823877,86.178532,6,Poor,3.09,Night,Low,High
Ulidih,22.790081,86.210767,3,Poor,1.93,Day,Low,Medium
Mango Bazar,22.831945,86.204554,3,Good,1.61,Day,High,Low
Sonari,22.821132,86.161076,4,Good,0.89,Night,Medium,Medium
Ulidih,22.789676,86.211002,2,Good,1.82,Day,Medium,Low
Telco,22.764525,86.152413,6,Poor,1.11,Night,Low,High
Boram,22.838691,86.21982,9,Poor,4.3,Night,Low,High
Birsa Chowk,22.799495,86.184588,3,Poor,0.1,Night,Medium,Medium
Marine Drive,22.769554,86.162172,5,Good,1.17,Night,Medium,Medium
Kadma,22.813089,86.221165,2,Good,0.95,Day,High,Low
Sakchi,22.804459,86.203812,6,Poor,0.29,Night,High,High
Bagbera,22.830827,86.227357,8,Poor,3.18,Night,Low,High
Mango Bazar,22.830154,86.202472,3,Good,1.62,Night,High,Low
Burma Mines,22.823842,86.17673,9,Poor,3.6,Night,Low,High
Sitaramdera,22.772648,86.168713,3,Good,1.12,Day,Medium,Low
Telco,22.760461,86.154,4,Good,1.04,Day,High,Low
Dimna,22.742094,86.21011,8,Poor,3.8,Night,Low,High
Sidhgora More,22.809273,86.19219,3,Good,0.44,Day,High,Low
Sakchi Market,22.806805,86.199616,3,Good,0.82,Day,High,Low
Sidhgora,22.809339,86.189211,5,Good,0.54,Day,High,Low
Ulidih,22.789159,86.210607,9,Poor,2.15,Night,Low,High
Sitaramdera,22.771927,86.165129,4,Poor,1.5,Day,Low,Medium
Baridih,22.834107,86.181549,6,Poor,2.19,Night,Low,High
Golmuri,22.783496,86.17345,9,Poor,0.74,Night,Low,High
Sakchi,22.804746,86.204431,6,Poor,0.85,Night,Low,High
Baridih,22.834367,86.185882,6,Poor,2.52,Night,Low,High
Dimna,22.742356,86.211827,7,Poor,3.21,Night,Low,High
Boram,22.838485,86.218522,8,Poor,4.05,Night,Low,High
Adityapur,22.784069,86.136121,2,Good,0.43,Day,High,Low
Chhota Govindpur,22.752091,86.139933,4,Poor,2.78,Night,Low,High
Bistupur,22.79686,86.190088,4,Poor,0.1,Night,Low,Medium
Sonari,22.816858,86.162005,3,Good,2.29,Night,Medium,Medium
Jugsalai More,22.78814,86.176929,4,Poor,0.53,Night,Medium,Medium
Agrico,22.779146,86.174274,6,Poor,1.26,Night,Low,Medium
Agrico,22.779462,86.172335,4,Poor,0.68,Day,Medium,Medium
Sonari,22.81945,86.161436,7,Poor,1.58,Night,Low,High
Chhota Govindpur,22.752956,86.13782,3,Good,3.22,Day,Medium,Low
Sonari,22.822278,86.164433,4,Good,2.15,Night,Medium,Medium
Boram,22.839548,86.219218,5,Poor,4.07,Night,Low,High
Mango,22.828831,86.203363,4,Poor,1.77,Night,Low,High
Kadma,22.811199,86.220753,5,Poor,0.5,Night,Low,High
Bagbera,22.832634,86.228608,6,Poor,3.1,Night,Low,High
Burma Mines,22.827653,86.179979,6,Poor,2.77,Night,Low,High
Sakchi,22.803213,86.20279,4,Poor,1.12,Day,Medium,Medium
Karandih,22.813909,86.209905,5,Good,2.36,Day,Medium,Medium
Parsudih,22.800714,86.167078,8,Poor,3.02,Night,Low,High
Dimna,22.744836,86.209314,8,Poor,3.39,Night,Low,High
Sakchi Market,22.803069,86.202643,4,Poor,0.91,Day,Medium,Medium
Dimna,22.74005,86.208051,3,Good,3.77,Day,Low,Medium
Kadma,22.816751,86.220591,3,Good,0.61,Night,Medium,Medium
Sakchi Market,22.805469,86.201369,5,Poor,0.8,Day,Medium,Medium
Sitaramdera,22.772682,86.1651,4,Good,1.19,Day,Medium,Low
Lal Building,22.799692,86.184219,3,Poor,0.71,Night,Medium,Medium
Pathargora,22.802699,86.19955,3,Good,0.37,Day,High,Low
Sakchi Market,22.802729,86.200964,7,Poor,0.86,Night,Low,High
Mango Bazar,22.829739,86.20712,2,Good,1.6,Day,High,Low
Jharkhand Colony,22.784158,86.20435,4,Poor,2.2,Night,Low,High
Chhota Govindpur,22.748594,86.139714,2,Good,2.77,Day,Medium,Low
Adityapur,22.785346,86.133663,2,Poor,1.13,Day,High,Low
Sidhgora More,22.810454,86.191585,3,Good,0.85,Day,High,Low
Boram,22.839546,86.220117,7,Poor,3.92,Night,Low,High
Sakchi,22.803773,86.204281,7,Poor,0.74,Night,Low,High
Burma Mines,22.823506,86.178606,3,Good,2.54,Day,Medium,Low
Karandih,22.812267,86.211616,5,Good,2.24,Day,Medium,Medium
Boram Basti,22.842217,86.219566,5,Good,4.01,Day,Low,Medium
Telco,22.76455,86.155313,3,Good,1.5,Day,High,Low
Golmuri,22.782037,86.174864,1,Good,0.99,Day,High,Low
Azadnagar,22.806094,86.197663,4,Good,0.83,Day,Medium,Low
Baridih,22.834558,86.183333,6,Poor,2.43,Night,Low,High
Adityapur,22.785108,86.137947,8,Good,1.04,Night,Low,High
Bhalubasa,22.756765,86.147231,4,Good,1.84,Day,Medium,Medium
Bhalubasa,22.761024,86.147474,7,Poor,1.1,Night,Low,High
Birsa Chowk,22.79715,86.183182,2,Poor,0.13,Night,Medium,Medium
Kadma,22.813595,86.219627,6,Poor,1.23,Night,Low,High
Parsudih,22.799988,86.170461,6,Poor,2.58,Night,Low,High
Bistupur,22.795817,86.191105,3,Poor,0.41,Day,High,Low
Dimna,22.744728,86.209149,4,Good,3.75,Day,Low,Medium
Mango,22.831197,86.201521,4,Poor,1.85,Night,Medium,Medium
Sakchi Market,22.806695,86.20233,4,Poor,0.7,Day,Medium,Medium
Agrico,22.778496,86.1745,3,Poor,0.98,Night,Medium,Medium
Sidhgora,22.810594,86.193328,6,Poor,1.02,Night,Low,High
Birsa Chowk,22.796328,86.187281,7,Poor,0.1,Night,Low,High
Ulidih,22.789524,86.209642,4,Poor,2.2,Day,Low,Medium
Bistupur,22.796063,86.188493,4,Good,0.11,Day,High,Low
Lal Building,22.801835,86.182942,6,Poor,0.1,Night,Low,High
Sidhgora,22.809241,86.18997,8,Poor,0.5,Night,Low,High
Ulidih,22.790397,86.208356,2,Good,2.37,Day,Medium,Low
Bhalubasa,22.760339,86.146802,5,Good,1.29,Day,Medium,Medium
Sitaramdera,22.773737,86.166722,5,Poor,0.97,Day,Low,Medium
Mango,22.830199,86.202877,5,Poor,1.52,Night,Medium,Medium
Dimna,22.744242,86.209689,7,Poor,3.1,Night,Low,High
Bagbera,22.827443,86.230392,2,Good,3.25,Day,Medium,Low
Sidhgora,22.807579,86.191796,6,Poor,1.1,Night,Medium,Medium
Golmuri,22.780675,86.171744,3,Good,0.97,Day,High,Low
Bagbera,22.831179,86.22933,9,Poor,3.03,Night,Low,High
Sidhgora,22.811011,86.193027,5,Good,0.83,Day,High,Low
Ulidih,22.791345,86.210449,5,Poor,1.49,Day,Low,Medium
Sonari,22.817984,86.160306,6,Poor,1.99,Day,Low,High
Bhalubasa,22.759155,86.148176,7,Poor,2.49,Night,Low,High
Agrico,22.777818,86.174532,5,Poor,0.86,Night,Low,High
Lal Building,22.802166,86.17818,6,Poor,0.36,Night,Low,High
Sonari,22.821541,86.162264,2,Good,2.06,Day,Medium,Low
Sakchi Market,22.806191,86.201441,6,Poor,1.48,Day,Medium,Medium
Bagbera,22.830497,86.227537,5,Poor,3.44,Day,Low,Medium
Burma Mines,22.827003,86.178123,8,Poor,2.25,Night,Low,High
Bistupur,22.796016,86.187495,6,Poor,0.7,Night,Low,Medium
Golmuri,22.783514,86.174264,2,Good,1.9,Day,Medium,Medium
Pathargora,22.801806,86.199478,1,Good,0.82,Day,High,Low
Boram Basti,22.840532,86.216468,8,Poor,3.8,Night,Low,High
Agrico,22.777737,86.170818,3,Good,1.0,Day,High,Low
Boram Basti,22.840324,86.216964,7,Poor,3.75,Night,Low,High
Jugsalai,22.789838,86.182389,5,Poor,1.13,Night,Low,High
Chhota Govindpur,22.752816,86.14035,3,Good,2.47,Day,Medium,Low
Jharkhand Colony,22.786144,86.204896,10,Poor,1.93,Night,Low,High
Azadnagar,22.803556,86.19444,3,Good,0.7,Day,Medium,Low
Sidhgora,22.812853,86.189439,7,Poor,0.51,Night,Low,High
Parsudih,22.798841,86.170106,5,Poor,3.02,Day,Low,Medium
Sonari,22.817203,86.162757,3,Good,1.84,Day,Medium,Low
Karandih,22.814069,86.209284,5,Poor,2.4,Night,Low,High
Sidhgora,22.811962,86.186083,3,Good,0.3,Day,High,Low
Karandih,22.815338,86.208988,3,Good,1.94,Day,Medium,Low
Sakchi Market,22.804634,86.201276,1,Good,0.46,Day,High,Low
Telco,22.763811,86.153639,6,Poor,1.14,Night,Low,High
Azadnagar,22.803936,86.19538,3,Good,1.34,Day,High,Medium
Baridih,22.836699,86.186225,6,Poor,1.8,Night,Low,High
Lal Building,22.801198,86.181944,6,Poor,0.95,Night,Low,High
Parsudih,22.803229,86.170485,1,Good,2.25,Day,Medium,Low
Sonari,22.819595,86.159737,7,Poor,1.72,Day,Low,High
Baridih,22.831037,86.184542,5,Good,1.62,Day,Medium,Medium
Birsa Chowk,22.797133,86.182091,3,Good,0.65,Day,High,Low
Azadnagar,22.806697,86.19536,2,Good,1.73,Day,High,Medium
Karandih,22.814445,86.208432,6,Poor,1.98,Night,Low,High
Gamharia,22.769162,86.121922,3,Good,1.88,Day,Medium,Low
Pathargora,22.800345,86.200615,4,Poor,1.04,Night,Medium,High
Azadnagar,22.807421,86.197522,4,Good,0.49,Day,High,Medium
Mango,22.831084,86.200356,6,Poor,1.7,Night,Low,High
Birsa Chowk,22.799752,86.18347,5,Poor,0.73,Night,Medium,Medium
Boram Basti,22.84105,86.216423,2,Good,4.23,Day,Low,Medium
Lal Building,22.800264,86.182398,6,Poor,0.59,Night,Low,High
Lal Building,22.797993,86.184715,3,Good,1.02,Day,High,Low
Azadnagar,22.805805,86.196619,6,Good,1.68,Day,High,Medium
Karandih,22.811208,86.209438,7,Poor,2.58,Night,Low,High
Bistupur,22.794048,86.187417,2,Good,0.31,Day,High,Low
Jugsalai More,22.786517,86.179953,6,Poor,0.48,Night,Low,High
Sitaramdera,22.775563,86.16804,4,Good,1.54,Day,Medium,Low
Jugsalai More,22.784299,86.18185,1,Good,0.32,Day,High,Low
Birsa Chowk,22.797135,86.18539,5,Poor,0.21,Night,Low,High
Azadnagar,22.806325,86.196165,2,Good,1.04,Day,Medium,Low
Ulidih,22.792654,86.210449,5,Poor,2.02,Night,Low,High
Pathargora,22.802303,86.200741,5,Poor,0.7,Night,Medium,Medium
Lal Building,22.801053,86.18138,5,Poor,1.3,Night,Medium,Medium
Telco,22.764494,86.153734,5,Poor,1.06,Night,Medium,Medium
Baridih,22.834234,86.186548,1,Good,1.85,Day,High,Low
Baridih,22.835123,86.185033,7,Good,2.36,Night,Low,High
Azadnagar,22.805013,86.197423,5,Good,1.08,Day,High,Medium
Chhota Govindpur,22.753086,86.142469,3,Poor,3.3,Night,Medium,High
Boram Basti,22.839591,86.218781,4,Poor,4.26,Night,Low,High
Baridih,22.836335,86.185538,3,Good,1.91,Day,High,Low
Jugsalai,22.788359,86.1859,4,Good,0.1,Day,High,Medium
Bhalubasa,22.759678,86.148311,4,Good,0.83,Day,Medium,Medium
Mango,22.827936,86.199364,5,Good,0.86,Day,Medium,Low
Jugsalai,22.78683,86.180678,2,Good,0.83,Day,Medium,Low
Bistupur,22.798198,86.190028,3,Good,0.1,Day,High,Low
Adityapur,22.785487,86.132259,10,Good,0.94,Night,Low,High
Dimna,22.743418,86.208871,7,Poor,3.51,Night,Low,High
Marine Drive,22.768681,86.16166,3,Good,1.21,Night,Medium,Medium
Boram Basti,22.841956,86.217593,3,Good,3.9,Day,Low,Medium
Jugsalai More,22.784942,86.179835,2,Good,1.02,Day,High,Low
Burma Mines,22.82515,86.17961,7,Poor,2.72,Day,Low,High
Azadnagar,22.806556,86.194925,1,Good,0.66,Day,Medium,Low
Lal Building,22.800481,86.179797,8,Poor,0.82,Night,Low,High
Sakchi,22.803245,86.200817,3,Good,0.92,Day,High,Low
Bistupur,22.795887,86.188573,1,Good,0.42,Day,High,Low
Golmuri,22.784906,86.174689,9,Poor,1.22,Night,Low,High
Baridih,22.834683,86.183961,7,Poor,2.0,Night,Low,High
Ulidih,22.789569,86.208262,2,Good,2.33,Day,Medium,Low
Bistupur,22.799255,86.187294,4,Good,0.21,Night,Medium,Low
Telco,22.763574,86.156675,4,Poor,1.82,Night,Medium,Medium
Kadma,22.815121,86.220146,2,Good,0.4,Day,High,Low
Bagbera,22.828268,86.229006,10,Good,3.64,Night,Low,High
Pathargora,22.802982,86.198214,5,Poor,0.53,Night,Medium,Medium
Agrico,22.779062,86.172449,3,Good,1.18,Day,High,Low
Mango Bazar,22.830234,86.203507,2,Good,1.86,Day,High,Low
Birsa Chowk,22.797174,86.188173,6,Poor,0.7,Night,Low,High
Ulidih,22.787044,86.210327,2,Good,1.91,Day,Medium,Low
Boram Basti,22.841077,86.217919,3,Good,4.58,Day,Low,Medium
Telco,22.765789,86.156294,6,Poor,1.75,Night,Medium,Medium
Azadnagar,22.804384,86.197044,4,Poor,0.91,Night,Low,High
Golmuri,22.784245,86.173434,5,Good,1.01,Day,Medium,Medium
Boram Basti,22.839785,86.221453,5,Poor,4.02,Night,Low,High
Golmuri,22.783749,86.174263,8,Poor,0.88,Night,Low,High
Marine Drive,22.768279,86.160355,5,Poor,1.9,Night,Low,High
Ulidih,22.789883,86.210827,5,Poor,1.85,Day,Low,Medium
Boram,22.839248,86.220519,4,Good,3.67,Day,Low,Medium
Sakchi Market,22.803214,86.204288,3,Good,1.46,Day,High,Low
Birsa Chowk,22.798012,86.184115,4,Poor,0.52,Night,Low,High
Jharkhand Colony,22.782599,86.206175,9,Poor,2.64,Night,Low,High
Karandih,22.813029,86.210247,4,Good,2.44,Day,Medium,Medium
Sidhgora,22.811624,86.191474,5,Poor,0.74,Night,Low,High
Boram,22.83946,86.219678,3,Good,3.77,Day,Low,Medium
Azadnagar,22.802697,86.195474,2,Good,1.05,Day,Medium,Low
Mango Bazar,22.830065,86.204098,4,Good,0.98,Day,High,Low
Boram Basti,22.843372,86.218537,3,Good,4.44,Day,Low,Medium
Golmuri,22.782958,86.17307,8,Poor,1.11,Night,Low,High
Agrico,22.780247,86.175018,4,Good,0.88,Day,High,Low
Agrico,22.776715,86.174099,7,Poor,0.76,Day,Low,High
Jugsalai More,22.787755,86.179889,4,Poor,0.49,Night,Low,High
Sakchi Market,22.806555,86.201298,2,Good,1.15,Day,High,Low
Adityapur,22.786475,86.134746,7,Poor,0.1,Night,Low,High
Telco,22.762938,86.155991,3,Poor,1.28,Night,Medium,Medium
